"Variable / Field Name" "Form Name" "CTCC Name" "Section Header" "Field Type" "Field Label" "Choices, Calculations, OR Slider Labels" "Field Note" "Text Validation Type OR Show Slider Number"
"95" "mdsupdrslfthndscore_v2" "substudy_mdsupdrs_part_iii" "NP3HMOVL" NA "radio" "<span style=\"font-weight:normal\">L" "0, 0 Normal: No problem. | 1, 1 Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the task. | 2, 2 Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the task. | 3, 3 Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) the amplitude decrements starting after the 1st open-and-close sequence. | 4, 4 Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements. | 555, Unable to Rate." NA NA
"96" "mdsupdrsprontsupnrthndmvmt_v2" "substudy_mdsupdrs_part_iii" "NP3PRSPR" "3.6 PRONATION-SUPINATION MOVEMENTS OF HANDS
" "radio" "<span style=\"font-weight:normal\">R" "0, 0 Normal: No problems. | 1, 1 Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the sequence. | 2, 2 Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the sequence. | 3, 3 Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing c) the amplitude decrements starting after the 1st supination-pronation sequence. | 4, 4 Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements. | 555, Unable to Rate." NA NA
"97" "pronatsupinlfthndmvmntscor_v2" "substudy_mdsupdrs_part_iii" "NP3PRSPL" NA "radio" "<span style=\"font-weight:normal\">L" "0, 0 Normal: No problems. | 1, 1 Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the sequence. | 2, 2 Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the sequence. | 3, 3 Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing c) the amplitude decrements starting after the 1st supination-pronation sequence. | 4, 4 Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements. | 555, Unable to Rate." NA NA
"98" "rtefttoetppngscore_v2" "substudy_mdsupdrs_part_iii" "NP3TTAPR" "3.7 TOE TAPPING
" "radio" "<span style=\"font-weight:normal\">R" "0, 0 Normal: No problem. | 1, 1 Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions, or hesitations of the tapping movement, b) slight slowing c) amplitude decrements near the end of the ten taps. | 2, 2 Mild: Any of the following: a) 3 to 5 interruptions during the tapping movements, b) mild slowing, c) amplitude decrements midway in the task. | 3, 3 Moderate: Any of the following: a) more than 5 interruptions during the tapping movements or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) amplitude decrements after the first tap. | 4, 4 Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements. | 555, Unable to Rate." NA NA
"99" "mdsupdrslftfttoetppngscore_v2" "substudy_mdsupdrs_part_iii" "NP3TTAPL" NA "radio" "<span style=\"font-weight:normal\">L" "0, 0 Normal: No problem. | 1, 1 Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions, or hesitations of the tapping movement, b) slight slowing c) amplitude decrements near the end of the ten taps. | 2, 2 Mild: Any of the following: a) 3 to 5 interruptions during the tapping movements, b) mild slowing, c) amplitude decrements midway in the task. | 3, 3 Moderate: Any of the following: a) more than 5 interruptions during the tapping movements or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) amplitude decrements after the first tap. | 4, 4 Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements. | 555, Unable to Rate." NA NA
"100" "mdsupdrslegagiltyrtelegsco_v2" "substudy_mdsupdrs_part_iii" "NP3LGAGR" "3.8 LEG AGILITY

" "radio" "<span style=\"font-weight:normal\">R" "0, 0 Normal: No problems. | 1, 1 Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement, b) slight slowing, c) amplitude decrements near the end of the task. | 2, 2 Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowness, c) amplitude decrements midway in the task. | 3, 3 Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing in speed, c) amplitude decrements after the first tap. | 4, 4 Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements. | 555, Unable to Rate." NA NA
"101" "mdsupdrslegagiltylftlegsco_v2" "substudy_mdsupdrs_part_iii" "NP3LGAGL" NA "radio" "<span style=\"font-weight:normal\">L" "0, 0 Normal: No problems. | 1, 1 Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement, b) slight slowing, c) amplitude decrements near the end of the task. | 2, 2 Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowness, c) amplitude decrements midway in the task. | 3, 3 Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing in speed, c) amplitude decrements after the first tap. | 4, 4 Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements. | 555, Unable to Rate." NA NA
"102" "mdsupdrsarisingfrmchrscore_v2" "substudy_mdsupdrs_part_iii" "NP3RISNG" "3.9 ARISING FROM CHAIR
" "radio" "<span style=\"font-weight:normal\"><u>Instructions to examiner</u>: Have the patient sit in a straight-backed chair with arms, with both feet on the floor and sitting back in the chair (if the patient is not too short). Ask the patient to cross his/her arms across the chest and then to stand up. If the patient is not successful, repeat this attempt a maximum up to two more times. If still unsuccessful, allow the patient to move forward in the chair to arise with arms folded across the chest. Allow only one attempt in this situation. If unsuccessful, allow the patient to push off using his/her hands on the arms of the chair. Allow a maximum of three trials of pushing off. If still not successful, assist the patient to arise. After the patient stands up, observe the posture for item
3.13." "0, 0 Normal: No problems. Able to arise quickly without hesitation. | 1, 1 Slight: Arising is slower than normal, or may need more than one attempt, or may need to move forward in the chair to arise. No need to use the arms of the chair. | 2, 2 Mild: Pushes self up from arms of chair without difficulty. | 3, 3 Moderate: Needs to push off, but tends to fall back or may have to try more than one time using arms of chair, but can get up without help. | 4, 4 Severe: Unable to arise without help. | 555, Unable to Rate." NA NA
"103" "mdsupdrsgaitscore_v2" "substudy_mdsupdrs_part_iii" "NP3GAIT" "3.10 GAIT" "radio" "<span style=\"font-weight:normal\"><u>Instructions to examiner</u>: Testing gait is best performed by having the patient walking away from and towards the examiner so that both right and left sides of the body can be easily observed simultaneously. The patient should walk at least 10 meters (30 feet), then turn around and return to the examiner. This item measures multiple behaviors: stride amplitude, stride speed, height of foot lift, heel strike during walking, turning, and arm swing, but not freezing. Assess also for \"freezing of gait\" (next item 3.11) while patient is walking. Observe posture for item 3.13." "0, 0 Normal: No problems. | 1, 1 Slight: Independent walking with minor gait impairment. | 2, 2 Mild: Independent walking but with substantial gait impairment. | 3, 3 Moderate: Requires an assistance device for safe walking (walking stick, walker) but not a person. | 4, 4 Severe: Cannot walk at all or only with another person's assistance. | 555, Unable to Rate." NA NA
"104" "mdsupdrsfreezinggaitscore_v2" "substudy_mdsupdrs_part_iii" "NP3FRZGT" "3.11 FREEZING OF GAIT" "radio" "<span style=\"font-weight:normal\"><u>Instructions to examiner</u>: While assessing gait, also assess for the presence of any gait freezing episodes. Observe for start hesitation and  stuttering movements especially when turning and reaching the end of the task. To the extent that safety permits, patients may NOT use sensory tricks during the assessment." "0, 0 Normal: No freezing. | 1, 1 Slight: Freezes on starting, turning or walking through doorway with a single halt during any of these events, but then continues smoothly without freezing during straight walking. | 2, 2 Mild: Freezes on starting, turning or walking through doorway with more than one halt during any of these activities, but continues smoothly without freezing during straight walking. | 3, 3 Moderate: Freezes once during straight walking. | 4, 4 Severe: Freezes multiple times during straight walking. | 555, Unable to Rate." NA NA
"105" "postinst_instr" "substudy_mdsupdrs_part_iii" "NP3PSTBL" "3.12 POSTURAL STABILITY
" "radio" "<span style=\"font-weight:normal\"><u>Instructions to examiner</u>: The test examines the response to sudden body displacement produced by a <u>quick, forceful</u> pull on the shoulders while the patient is standing erect with eyes open and feet comfortably apart and parallel to each other. Test retropulsion. Stand behind the patient and instruct the patient on what is about to happen. Explain that s/he is allowed to take a step backwards to avoid falling. There should be a solid wall behind the examiner, at least 1-2 meters away to allow for the observation of the number of retropulsive steps. The first pull is an instructional demonstration and is purposely milder and not rated. The second time the shoulders are pulled briskly and forcefully towards the examiner with enough force to displace the center of gravity so that patient MUST take a step backwards. The examiner needs to be ready to catch the patient, but must stand sufficiently back so as to allow enough room for the patient to take several steps to recover independently. Do not allow the patient to flex the body abnormally forward in anticipation of the pull. Observe for the number of steps backwards or falling. Up to and including two steps for recovery is considered normal, so abnormal ratings begin with three steps. If the patient fails to understand the test, the examiner can repeat the
test so that the rating is based on an assessment that the examiner feels reflects the patient's limitations rather than misunderstanding or lack of preparedness. Observe standing posture for item 3.13.
" "0, 0: Normal: No problems: Recovers with one or two steps. | 1, 1: Slight: 3-5 steps, but subject recovers unaided. | 2, 2: Mild: More than 5 steps, but subject recovers unaided. | 3, 3: Moderate: Stands safely, but with absence of postural response; falls if not caught by examiner. | 4, 4: Severe: Very unstable, tends to lose balance spontaneously or with just a gentle pull on the shoulders. | 000, Unable to Rate." NA NA
"106" "mdsupdrsposturescore_v2" "substudy_mdsupdrs_part_iii" "NP3POSTR" "3.13 POSTURE" "radio" "<span style=\"font-weight:normal\"><u>Instructions to examiner</u>: Posture is assessed with the patient standing erect after arising from a chair,
during walking, and while being tested for postural reflexes. If you notice poor posture, tell the patient
to stand up straight and see if the posture improves (see option 2 below). Rate the worst posture seen
in these three observation points. Observe for flexion and side-to-side leaning." "0, 0 Normal: No problems. | 1, 1 Slight: Not quite erect, but posture could be normal for older person. | 2, 2 Mild: Definite flexion, scoliosis or leaning to one side, but patient can correct posture to normal posture when asked to do so. | 3, 3 Moderate: Stooped posture, scoliosis or leaning to one side that cannot be corrected volitionally to a normal posture by the patient. | 4, 4 Severe: Flexion, scoliosis or leaning with extreme abnormality of posture. | 555, Unable to Rate." NA NA
"107" "mdsupdrsglblspontntymvmnts_v2" "substudy_mdsupdrs_part_iii" "NP3BRADY" "3.14 GLOBAL SPONTANEITY OF MOVEMENT (BODY BRADYKINESIA)" "radio" "<span style=\"font-weight:normal\"><u>Instructions to examiner</u>: This global rating combines all observations on slowness, hesitancy, and small amplitude and poverty of movement in general, including a reduction of gesturing and of crossing the legs. This assessment is based on the examiner's global impression after observing for spontaneous gestures while sitting, and the nature of arising and walking." "0, 0 Normal: No problems. | 1, 1 Slight: Slight global slowness and poverty of spontaneous movements. | 2, 2 Mild: Mild global slowness and poverty of spontaneous movements. | 3, 3 Moderate: Moderate global slowness and poverty of spontaneous movements. | 4, 4 Severe: Severe global slowness and poverty of spontaneous movements. | 555, Unable to Rate." NA NA
"108" "mdsupdrspostrltremorrthnds_v2" "substudy_mdsupdrs_part_iii" "NP3PTRMR" "3.15 POSTURAL TREMOR OF THE HANDS" "radio" "<span style=\"font-weight:normal\">R" "0, 0 Normal: No tremor. | 1, 1 Slight: Tremor is present but less than 1 cm in amplitude. | 2, 2 Mild: Tremor is at least 1 but less than 3 cm in amplitude. | 3, 3 Moderate: Tremor is at least 3 but less than 10 cm in amplitude. | 4, 4 Severe: Tremor is at least 10 cm in amplitude. | 555, Unable to Rate." NA NA
"109" "mdsupdrspostrltremrlfthnds_v2" "substudy_mdsupdrs_part_iii" "NP3PTRML" NA "radio" "<span style=\"font-weight:normal\">L" "0, 0 Normal: No tremor. | 1, 1 Slight: Tremor is present but less than 1 cm in amplitude. | 2, 2 Mild: Tremor is at least 1 but less than 3 cm in amplitude. | 3, 3 Moderate: Tremor is at least 3 but less than 10 cm in amplitude. | 4, 4 Severe: Tremor is at least 10 cm in amplitude. | 555, Unable to Rate." NA NA
"110" "mdsupdrskinetictremrrthnds_v2" "substudy_mdsupdrs_part_iii" "NP3KTRMR" "3.16 KINETIC TREMOR OF THE HANDS
" "radio" "<span style=\"font-weight:normal\">R" "0, 0 Normal: No tremor. | 1, 1 Slight: Tremor is present but less than 1 cm in amplitude. | 2, 2 Mild: Tremor is at least 1 but less than 3 cm in amplitude. | 3, 3 Moderate: Tremor is at least 3 but less than 10 cm in amplitude. | 4, 4 Severe: Tremor is at least 10 cm in amplitude. | 555, Unable to Rate." NA NA
"111" "mdsupdrskinetictremrlfthnd_v2" "substudy_mdsupdrs_part_iii" "NP3KTRML" NA "radio" "<span style=\"font-weight:normal\">L" "0, 0 Normal: No tremor. | 1, 1 Slight: Tremor is present but less than 1 cm in amplitude. | 2, 2 Mild: Tremor is at least 1 but less than 3 cm in amplitude. | 3, 3 Moderate: Tremor is at least 3 but less than 10 cm in amplitude. | 4, 4 Severe: Tremor is at least 10 cm in amplitude. | 555, Unable to Rate." NA NA
"112" "mdsupdrsresttremorampruesc_v2" "substudy_mdsupdrs_part_iii" "NP3RTARU" "3.17 REST TREMOR AMPLITUDE
" "radio" "<span style=\"font-weight:normal\">RUE" "0, 0 Normal: No tremor. | 1, 1 Slight: ? 1 cm in maximal amplitude. | 2, 2 Mild: > 1 cm but < 3 cm in maximal amplitude. | 3, 3 Moderate: 3 - 10 cm in maximal amplitude. | 4, 4 Severe: > 10 cm in maximal amplitude. | 555, Unable to Rate." NA NA
"113" "mdsupdrsresttremorampluesc_v2" "substudy_mdsupdrs_part_iii" "NP3RTALU" NA "radio" "<span style=\"font-weight:normal\">LUE" "0, 0 Normal: No tremor. | 1, 1 Slight: ? 1 cm in maximal amplitude. | 2, 2 Mild: > 1 cm but < 3 cm in maximal amplitude. | 3, 3 Moderate: 3 - 10 cm in maximal amplitude. | 4, 4 Severe: > 10 cm in maximal amplitude. | 555, Unable to Rate." NA NA
"114" "mdsupdrsresttremoramprlesc_v2" "substudy_mdsupdrs_part_iii" "NP3RTARL" NA "radio" "<span style=\"font-weight:normal\">RLE" "0, 0 Normal: No tremor. | 1, 1 Slight: ? 1 cm in maximal amplitude. | 2, 2 Mild: > 1 cm but < 3 cm in maximal amplitude. | 3, 3 Moderate: 3 - 10 cm in maximal amplitude. | 4, 4 Severe: > 10 cm in maximal amplitude. | 555, Unable to Rate." NA NA
"115" "mdsupdrsresttremorampllesc_v2" "substudy_mdsupdrs_part_iii" "NP3RTALL" NA "radio" "<span style=\"font-weight:normal\">LLE" "0, 0 Normal: No tremor. | 1, 1 Slight: ? 1 cm in maximal amplitude. | 2, 2 Mild: > 1 cm but < 3 cm in maximal amplitude. | 3, 3 Moderate: 3 - 10 cm in maximal amplitude. | 4, 4 Severe: > 10 cm in maximal amplitude. | 555, Unable to Rate." NA NA
"116" "mdsupdrsresttremramplipjaw_v2" "substudy_mdsupdrs_part_iii" "NP3RTALJ" NA "radio" "<span style=\"font-weight:normal\">Lip/Jaw" "0, 0 Normal: No tremor. | 1, 1 Slight: ? 1 cm in maximal amplitude. | 2, 2 Mild: > 1 cm but ? 2 cm in maximal amplitude. | 3, 3 Moderate: > 2 cm but ? 3 cm in maximal amplitude. | 4, 4 Severe: > 3 cm in maximal amplitude. | 555, Unable to Rate." NA NA
"117" "mdsupdrsconstncyresttremrs_v2" "substudy_mdsupdrs_part_iii" "NP3RTCON" "3.18 CONSTANCY OF REST TREMOR" "radio" "<span style=\"font-weight:normal\"><u>Instructions to examiner</u>: This item receives one rating for all rest tremor and focuses on the constancy of rest tremor during the examination period when different body parts are variously at rest. It is rated purposefully at the end of the examination so that several minutes of information can be coalesced into the rating." "0, 0 Normal: No tremor. | 1, 1 Slight: Tremor at rest is present ? 25% of the entire examination period. | 2, 2 Mild: Tremor at rest is present 26-50% of the entire examination period. | 3, 3 Moderate: Tremor at rest is present 51-75% of the entire examination period. | 4, 4 Severe: Tremor at rest is present > 75% of the entire examination period. | 555, Unable to Rate." NA NA
"118" "mdsupdrsdyskchreadystnaprs_v2" "substudy_mdsupdrs_part_iii" "DYSKPRES" "DYSKINESIA IMPACT ON PART III RATINGS" "yesno" "<span style=\"font-weight:normal\">A. Were dyskinesias (chorea or dystonia) present during examination?" NA NA NA
"119" "mdsupdrsmvmntintrfrncescor_v2" "substudy_mdsupdrs_part_iii" "DYSKIRAT" NA "yesno" "<span style=\"font-weight:normal\">B. If yes, did these movements interfere with your ratings?" NA NA NA
"120" "mdsupdrshoehnyahrstagescor_v2" "substudy_mdsupdrs_part_iii" "NHY" NA "radio" "HOEHN AND YAHR STAGE" "0, 0 Asymptomatic. | 1, 1 Unilateral involvement only. | 2, 2 Bilateral involvement without impairment of balance. | 3, 3 Mild to moderate involvement; some postural instability but physically independent; needs assistance to recover from pull test. | 4, 4 Severe disability; still able to walk or stand unassisted. | 5, 5 Wheelchair bound or bedridden unless aided." NA NA
"121" "qstnnreinfoprovdrt_spd" "participant_mdsupdrs_survey" "NUPSOURC" "MDS-UPDRS Patient Questionnaire" "radio" "Who is filling out this questionnaire (check the best answer):" "1, Caregiver | 2, Patient | 3, Patient and Caregiver in Equal Proportion" NA NA
"122" "mdsupdrssleepprobscore_spd" "participant_mdsupdrs_survey" "NP1SLPN" "Part 1: Non-Motor Aspects of Experiences of Daily Living (nM-EDL)

1.7 SLEEP PROBLEMS" "radio" "Over the past week, have you had trouble going to sleep at night or staying asleep through the night? Consider how rested you felt after waking up in the morning." "0, 0 (Normal: No problems) | 1, 1 (Slight: Sleep problems are present but usually do not cause trouble getting a full night of sleep) | 2, 2 (Mild: Sleep problems usually cause some difficulties getting a full night of sleep) | 3, 3 (Moderate: Sleep problems cause a lot of difficulties getting a full night of sleep, but I still usually sleep for more than half the night) | 4, 4 (Severe: I usually do not sleep for most of the night)" NA NA
"123" "mdsupdrsdaytmsleepscore_spd" "participant_mdsupdrs_survey" "NP1SLPD" "1.8 DAYTIME SLEEPINESS" "radio" "Over the past week, have you
had trouble staying awake during the daytime?" "0, 0 (Normal: No daytime sleepiness.) | 1, 1 (Slight: Daytime sleepiness occurs but I can resist and I stay awake) | 2, 2 (Mild: Sometimes I fall asleep when alone and relaxing. For example, while reading or watching TV) | 3, 3 (Moderate: I sometimes fall asleep when I should not. For example, while eating or talking with other people) | 4, 4 (Severe: I often fall asleep when I should not. For example, while eating or talking with other people)" NA NA
"124" "mdsupdrspainothrsensscore_spd" "participant_mdsupdrs_survey" "NP1PAIN" "1.9 PAIN AND OTHER SENSATIONS" "radio" "Over the past week, have you had uncomfortable feelings in your body like pain, aches, tingling or cramps?" "0, 0 (Normal: No uncomfortable feelings.) | 1, 1 (Slight: I have these feelings. However, I can do things and be with other people without difficulty) | 2, 2 (Mild: These feelings cause some problems when I do things or am with other people) | 3, 3 (Moderate: These feelings cause a lot of problems, but they do not stop me from doing things or being with other people) | 4, 4 (Severe: These feelings stop me from doing things or being with other people)" NA NA
"125" "mdsupdrsurnryprobscore_spd" "participant_mdsupdrs_survey" "NP1URIN" "1.10 URINARY PROBLEMS" "radio" "Over the past week, have you had trouble with urine control? For example, an urgent need to urinate, a need to urinate too often, or urine accidents?" "0, 0 (Normal: No urine control problems) | 1, 1 (Slight: I need to urinate often or urgently. However, these problems do not cause difficulties with my daily activities) | 2, 2 (Mild: Urine problems cause some difficulties with my daily activities. However, I do not have urine accidents) | 3, 3 (Moderate: Urine problems cause a lot of difficulties with my daily activities, including urine accidents) | 4, 4 (Severe: I cannot control my urine and use a protective garment or have a bladder tube)" NA NA
"126" "mdsupdrsconstipprobscore_spd" "participant_mdsupdrs_survey" "NP1CNST" "1.11 CONSTIPATION PROBLEMS" "radio" "Over the past week have you had constipation troubles that cause you difficulty moving your bowels?" "0, 0 (Normal: No constipation) | 1, 1 (Slight: I have been constipated. I use extra effort to move my bowels. However, this problem does not disturb my activities or my being comfortable) | 2, 2 (Mild: Constipation causes me to have some troubles doing things or being comfortable) | 3, 3 (Moderate: Constipation causes me to have a lot of trouble doing things or being comfortable. However, it does not stop me from doing anything) | 4, 4 (Severe: I usually need physical help from someone else to empty my bowels)" NA NA
"127" "liteheadstndngscor_spd" "participant_mdsupdrs_survey" "NP1LTHD" "1.12 LIGHT HEADEDNESS ON STANDING" "radio" "Over the past week, have you felt faint, dizzy or foggy when you stand up after sitting or lying down?" "0, 0 (Normal: No dizzy or foggy feelings) | 1, 1 (Slight: Dizzy or foggy feelings occur. However, they do not cause me troubles doing things) | 2, 2 (Mild: Dizzy or foggy feelings cause me to hold on to something, but I do not need to sit or lie back down) | 3, 3 (Moderate: Dizzy or foggy feelings cause me to sit or lie down to avoid fainting or falling) | 4, 4 (Severe: Dizzy or foggy feelings cause me to fall or faint)" NA NA
"128" "mdsupdrsfatiguescore_spd" "participant_mdsupdrs_survey" "NP1FATG" "1.13 FATIGUE" "radio" "Over the past week, have you usually felt fatigued? This feeling is not part of being sleepy or sad" "0, 0 (Normal: No fatigue) | 1, 1 (Slight: Fatigue occurs. However it does not cause me troubles doing things or being with people) | 2, 2 (Mild: Fatigue causes me some troubles doing things or being with people) | 3, 3 (Moderate: Fatigue causes me a lot of troubles doing things or being with people. However, it does not stop me from doing anything) | 4, 4 (Severe: Fatigue stops me from doing things or being with people)" NA NA
"129" "mdsupdrsspeechscore_spd" "participant_mdsupdrs_survey" "NP2SPCH" "Part II: Motor Aspects of Experiences of Daily Living (M-EDL)

2.1 SPEECH" "radio" "Over the past week, have you had problems with your speech?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: My speech is soft, slurred or uneven, but it does not cause others to ask me to repeat myself) | 2, 2 (Mild: My speech causes people to ask me to occasionally repeat myself, but not everyday) | 3, 3 (Moderate: My speech is unclear enough that others ask me to repeat myself every day even though most of my speech is understood) | 4, 4 (Severe: Most or all of my speech cannot be understood)" NA NA
"130" "mdsupdrsslivadroolscore_spd" "participant_mdsupdrs_survey" "NP2SALV" "2.2 SALIVA & DROOLING" "radio" "Over the past week, have you usually had too much saliva during when you are awake
or when you sleep?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I have too much saliva, but do not drool) | 2, 2 (Mild: I have some drooling during sleep, but none when I am awake) | 3, 3 (Moderate: I have some drooling when I am awake, but I usually do not need tissues or a handkerchief) | 4, 4 (Severe: I have so much drooling that I regularly need to use tissues or a handkerchief to protect my clothes)" NA NA
"131" "mdsupdrschwngswllwngscore_spd" "participant_mdsupdrs_survey" "NP2SWAL" "2.3 CHEWING AND SWALLOWING" "radio" "Over the past week, have you usually had problems swallowing pills or eating meals?
Do you need your pills cut or crushed or your meals to be made soft, chopped or blended to avoid choking?" "0, 0 (Normal: No problems) | 1, 1 (Slight: I am aware of slowness in my chewing or increased effort at swallowing, but I do not choke or need to have my food specially prepared) | 2, 2 (Mild: I need to have my pills cut or my food specially prepared because of chewing or swallowing problems, but I have not choked over the past week) | 3, 3 (Moderate. I choked at least once in the past week) | 4, 4 (Severe: Because of chewing and swallowing problems, I need a feeding tube)" NA NA
"132" "mdsupdrseatingtskscore_spd" "participant_mdsupdrs_survey" "NP2EAT" "2.4 EATING TASKS" "radio" "Over the past week, have you usually had troubles handling your food and using eating utensils? For example, do you have trouble handling finger foods or using forks, knifes, spoons, chopsticks?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I am slow, but I do not need any help handling my food and have not had food spills while eating) | 2, 2 (Mild: I am slow with my eating and have occasional food spills. I may need help with a few tasks such as cutting meat) | 3, 3 (Moderate: I need help with many eating tasks but can manage some alone) | 4, 4 (Severe: I need help for most or all eating tasks)" NA NA
"133" "mdsupdrsdressingscore_spd" "participant_mdsupdrs_survey" "NP2DRES" "2.5 DRESSING" "radio" "Over the past week, have you usually had problems dressing? For example, are you slow or do you need help with buttoning, using zippers, putting on or taking off your clothes or jewelry?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I am slow but I do not need help) | 2, 2 (Mild: I am slow and need help for a few dressing tasks (buttons, bracelets)) | 3, 3 (Moderate: I need help for many dressing tasks) | 4, 4 (Severe: I need help for most or all dressing tasks)" NA NA
"134" "mdsupdrshygienescore_spd" "participant_mdsupdrs_survey" "NP2HYGN" "2.6 HYGIENE" "radio" "Over the past week, have you usually been slow or do you need help with washing, bathing, shaving, brushing teeth, combing your hair or with other personal hygiene?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I am slow but I do not need any help) | 2, 2 (Mild: I need someone else to help me with some hygiene tasks) | 3, 3 (Moderate: I need help for many hygiene tasks) | 4, 4 (Severe: I need help for most or all of my hygiene tasks)" NA NA
"135" "mdsupdrshandwritingscore_spd" "participant_mdsupdrs_survey" "NP2HWRT" "2.7 HANDWRITING" "radio" "Over the past week, have people usually had trouble reading your handwriting?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: My writing is slow, clumsy or uneven, but all words are clear) | 2, 2 (Mild: Some words are unclear and difficult to read) | 3, 3 (Moderate: Many words are unclear and difficult to read) | 4, 4 (Severe: Most or all words cannot be read)" NA NA
"136" "hobbieothractscore_spd" "participant_mdsupdrs_survey" "NP2HOBB" "2.8 DOING HOBBIES AND OTHER ACTIVITIES" "radio" "Over the past week, have you usually had trouble doing your hobbies or other things
that you like to do?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I am a bit slow but do these activities easily) | 2, 2 (Mild: I have some difficulty doing these activities) | 3, 3 (Moderate: I have major problems doing these activities, but still do most) | 4, 4 (Severe: I am unable to do most or all of these activities)" NA NA
"137" "mdsupdrsturngbedscore_spd" "participant_mdsupdrs_survey" "NP2TURN" "2.9 TURNING IN BED" "radio" "Over the past week, do you usually have trouble turning over in bed?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I have a bit of trouble turning, but I do not need any help) | 2, 2 (Mild I have a lot of trouble turning and need occasional help from someone else) | 3, 3 (Moderate: To turn over I often need help from someone else) | 4, 4 (Severe: I am unable to turn over without help from someone else)" NA NA
"138" "mdsupdrstremorscore_spd" "participant_mdsupdrs_survey" "NP2TRMR" "2.10 TREMOR" "radio" "Over the past week, have you usually had shaking or tremor?" "0, 0 (Normal: Not at all. I have no shaking or tremor) | 1, 1 (Slight: Shaking or tremor occurs but does not cause problems with any activities) | 2, 2 (Mild: Shaking or tremor causes problems with only a few activities) | 3, 3 (Moderate: Shaking or tremor causes problems with many of my daily activities) | 4, 4 (Severe: Shaking or tremor causes problems with most or all activities)" NA NA
"139" "mdsupdrsgttngoutbedscore_spd" "participant_mdsupdrs_survey" "NP2RISE" "2.11 GETTING OUT OF BED, A CAR, OR A DEEP CHAIR" "radio" "Over the past week, have you usually had trouble getting out of bed, a car seat, or a deep chair?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I am slow or awkward, but I usually can do it on my first try) | 2, 2 (Mild: I need more than one try to get up or need occasional help) | 3, 3 (Moderate: I sometimes need help to get up, but most times I can still do it on my own) | 4, 4 (Severe: I need help most or all of the time)" NA NA
"140" "mdsupdrswlkngbalancescore_spd" "participant_mdsupdrs_survey" "NP2WALK" "2.12 WALKING AND BALANCE" "radio" "Over the past week, have you usually had problems with balance and walking?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I am slightly slow or may drag a leg. I never use a walking aid) | 2, 2 (Mild: I occasionally use a walking aid, but I do not need any help from another person) | 3, 3 (Moderate: I usually use a walking aid (cane, walker) to walk safely without falling. However, I do not usually need the support of another person) | 4, 4 (Severe: I usually use the support of another persons to walk safely without falling)" NA NA
